timestep_1,region_1,region_2,technology_1,technology_2,technology_3,parameter,value,comment
2020,West,,,,,rateDisc,0.02,sets specific discount rate for West and 2020
2020,East,,,,,rateDisc,0.02,sets specific discount rate for East 2020
,,,,,,rateInvConv,0.02,
,,,,,,rateInvStIn,0.02,
,,,,,,rateInvStOut,0.02,
,,,,,,rateInvStSize,0.02,
,,,,,,rateInvExc,0.02,
all,East,EastNorth,wind,,,capaConvUp,150,
all,East,EastNorth,solar,openspace,,capaConvUp,40,
all,East,EastNorth,solar,rooftop,,capaConvUp,245.452141,
all,East,EastSouth,wind,,,capaConvUp,80,
all,East,EastSouth,solar,openspace,,capaConvUp,63,
all,East,EastSouth,solar,rooftop,,capaConvUp,147.2712846,
all,West,WestNorth,wind,,,capaConvUp,130,
all,West,WestNorth,solar,openspace,,capaConvUp,67,
all,West,WestNorth,solar,rooftop,,capaConvUp,235.9754503,
all,West,WestSouth,wind,,,capaConvUp,120,
all,West,WestSouth,solar,openspace,,capaConvUp,50,
all,West,WestSouth,solar,rooftop,,capaConvUp,141.5852702,
,East,EastNorth,heatpump,,,capaConvUp,8,
,East,EastSouth,heatpump,,,capaConvUp,21,
,West,WestNorth,heatpump,,,capaConvUp,5,
,West,WestSouth,heatpump,,,capaConvUp,14,
2020,East,EastNorth,coalPlant,,,capaConvResi,16,
2020,East,"all(EastNorth,EastSouth)",gasBoiler,,,capaConvResi,10,
2020,West,"all(WestNorth,WestSouth)",gasBoiler,,,capaConvResi,14,
all,West,WestSouth,hydro,,,capaStInResi,8,
,,,hydro,,,stOutToStIn,1,
,,,hydro,,,sizeToStIn,4,
all,East,EastNorth,gasStorage,,,capaStInResi,10,
all,East,EastSouth,gasStorage,,,capaStInResi,9,
all,East,EastNorth,gasStorage,,,capaStOutResi,10,
all,East,EastSouth,gasStorage,,,capaStOutResi,8,
all,East,EastNorth,gasStorage,,,capaStSizeResi,100,
all,East,EastSouth,gasStorage,,,capaStSizeResi,130,
,,,solar,rooftop,photovoltaic,stOutToStIn,1,
,,,solar,rooftop,solarThermal,stOutToStIn,1,
