timestep_1,technology_1,technology_2,technology_3,mode,carrier_1,carrier_2,parameter,value,comment
,solar,rooftop,solarThermal,,,,effConv,1.758,"all rooftop capacities are in GWp for photovoltaic systems, to archieve a correct representation of solar thermal rooftop systems their efficiency  is used to scale up their output"
,gasPlant,ccgt,cccgtNoCHP,,,,effConv,0.64,
,gasPlant,ccgt,ccgtCHP,moreHeat,,,effConv,0.9,"for CHP ccgtPlants two modes are assumed, ""moreHeat"" as a lower overall efficiency, but a smaller smaller electricity share "
,gasPlant,ccgt,ccgtCHP,moreElec,,,effConv,0.8,"for CHP ccgtPlants two modes are assumed, ""moreHeat"" as a lower overall efficiency, but a smaller smaller electricity share "
,gasPlant,ocgt,,,,,effConv,0.46,
,coalPlant,,,,,,effConv,0.85,
,gasBoiler,,,,,,effConv,0.9,
,methanation,,,,,,effConv,0.78,"since excess heat is also an output from methanation this is the Carnot efficiencies, the effiency relating only to synthetic gas is obtained via combination with the ratio of genration outputs"
2020,electrolysis,,,,,,effConv,0.55,
2030,electrolysis,,,,,,effConv,0.655,
,fuelCell,,,,,,effConv,0.918,"since excess heat is also an output from fuel cells this is the Carnot efficiencies, the effiency relating only to electricity is obtained via combination with the ratio of genration outputs"
,gasPlant,,,,,,avaConv,0.95,
,coalPlant,,,,,,avaConv,0.85,
,gasPlant,ccgt,ccgtCHP,moreHeat,electricity,,ratioEnerGenFix,0.444,
,gasPlant,ccgt,ccgtCHP,moreElec,electricity,,ratioEnerGenFix,0.625,
,coalPlant,,,,electricity,,ratioEnerGenLow,0.424,"for CHP ccgtPlants two modes are assumed, ""moreHeat"" as a lower overall efficiency, but a smaller smaller electricity share "
,coalPlant,,,,electricity,,ratioEnerGenUp,0.471,"for CHP ccgtPlants two modes are assumed, ""moreHeat"" as a lower overall efficiency, but a smaller smaller electricity share "
2020,fuelCell,,,,electricity,,ratioEnerGenFix,0.523,
2030,fuelCell,,,,electricity,,ratioEnerGenFix,0.534,
2020,methanation,,,,gas,synthGas,ratioEnerGenFix,0.769,
2030,methanation,,,,gas,synthGas,ratioEnerGenFix,0.817,
,solar,rooftop,photovoltaic,,electricity,,effStIn,0.96,"synthGas ratio of output, the remaining share is excess heat, so increasing value implies increase in ""efficiency"""
,solar,rooftop,solarThermal,,heat,,effStIn,0.894,"synthGas ratio of output, the remaining share is excess heat, so increasing value implies increase in ""efficiency"""
,gasStorage,,,,,,effStIn,0.98,
,hydro,,,,,,effStIn,0.88,
,solar,rooftop,photovoltaic,,electricity,,effStOut,0.96,
,solar,rooftop,solarThermal,,heat,,effStOut,0.894,
,gasStorage,,,,,,effStOut,0.98,
,hydro,,,,,,effStOut,0.89,
,solar,rooftop,photovoltaic,,electricity,,stDis,0.0001,
,solar,rooftop,solarThermal,,heat,,stDis,0.001,
