carrier_1,carrier_2,timestep_4,parameter,value
hydrogen,,h0001,mustOut,0.1
hydrogen,,h0002,mustOut,0.1
hydrogen,,h0003,mustOut,0.1
hydrogen,,h0004,mustOut,0.1
hydrogen,,h0005,mustOut,0.1
hydrogen,,h0006,mustOut,0.1
hydrogen,,h0007,mustOut,0.1
hydrogen,,h0008,mustOut,0.1
hydrogen,,h0009,mustOut,0.1
hydrogen,,h0010,mustOut,0.1
hydrogen,,h0011,mustOut,0.1
hydrogen,,h0012,mustOut,0.1
hydrogen,,h0013,mustOut,0.1
hydrogen,,h0014,mustOut,0.1
hydrogen,,h0015,mustOut,0.1
hydrogen,,h0016,mustOut,0.1
hydrogen,,h0017,mustOut,0.1
hydrogen,,h0018,mustOut,0.1
hydrogen,,h0019,mustOut,0.1
hydrogen,,h0020,mustOut,0.1
hydrogen,,h0021,mustOut,0.1
hydrogen,,h0022,mustOut,0.1
hydrogen,,h0023,mustOut,0.1
hydrogen,,h0024,mustOut,0.1
hydrogen,,h0025,mustOut,0.1
hydrogen,,h0026,mustOut,0.1
hydrogen,,h0027,mustOut,0.1
hydrogen,,h0028,mustOut,0.1
hydrogen,,h0029,mustOut,0.1
hydrogen,,h0030,mustOut,0.1
hydrogen,,h0031,mustOut,0.1
hydrogen,,h0032,mustOut,0.1
hydrogen,,h0033,mustOut,0.1
hydrogen,,h0034,mustOut,0.1
hydrogen,,h0035,mustOut,0.1
hydrogen,,h0036,mustOut,0.1
hydrogen,,h0037,mustOut,0.1
hydrogen,,h0038,mustOut,0.1
hydrogen,,h0039,mustOut,0.1
hydrogen,,h0040,mustOut,0.1
hydrogen,,h0041,mustOut,0.1
hydrogen,,h0042,mustOut,0.1
hydrogen,,h0043,mustOut,0.1
hydrogen,,h0044,mustOut,0.1
hydrogen,,h0045,mustOut,0.1
hydrogen,,h0046,mustOut,0.1
hydrogen,,h0047,mustOut,0.1
hydrogen,,h0048,mustOut,0.1
hydrogen,,h0049,mustOut,0.1
hydrogen,,h0050,mustOut,0.1
hydrogen,,h0051,mustOut,0.1
hydrogen,,h0052,mustOut,0.1
hydrogen,,h0053,mustOut,0.1
hydrogen,,h0054,mustOut,0.1
hydrogen,,h0055,mustOut,0.1
hydrogen,,h0056,mustOut,0.1
hydrogen,,h0057,mustOut,0.1
hydrogen,,h0058,mustOut,0.1
hydrogen,,h0059,mustOut,0.1
hydrogen,,h0060,mustOut,0.1
hydrogen,,h0061,mustOut,0.1
hydrogen,,h0062,mustOut,0.1
hydrogen,,h0063,mustOut,0.1
hydrogen,,h0064,mustOut,0.1
hydrogen,,h0065,mustOut,0.1
hydrogen,,h0066,mustOut,0.1
hydrogen,,h0067,mustOut,0.1
hydrogen,,h0068,mustOut,0.1
hydrogen,,h0069,mustOut,0.1
hydrogen,,h0070,mustOut,0.1
hydrogen,,h0071,mustOut,0.1
hydrogen,,h0072,mustOut,0.1
hydrogen,,h0073,mustOut,0.1
hydrogen,,h0074,mustOut,0.1
hydrogen,,h0075,mustOut,0.1
hydrogen,,h0076,mustOut,0.1
hydrogen,,h0077,mustOut,0.1
hydrogen,,h0078,mustOut,0.1
hydrogen,,h0079,mustOut,0.1
hydrogen,,h0080,mustOut,0.1
hydrogen,,h0081,mustOut,0.1
hydrogen,,h0082,mustOut,0.1
hydrogen,,h0083,mustOut,0.1
hydrogen,,h0084,mustOut,0.1
hydrogen,,h0085,mustOut,0.1
hydrogen,,h0086,mustOut,0.1
hydrogen,,h0087,mustOut,0.1
hydrogen,,h0088,mustOut,0.1
hydrogen,,h0089,mustOut,0.1
hydrogen,,h0090,mustOut,0.1
hydrogen,,h0091,mustOut,0.1
hydrogen,,h0092,mustOut,0.1
hydrogen,,h0093,mustOut,0.1
hydrogen,,h0094,mustOut,0.1
hydrogen,,h0095,mustOut,0.1
hydrogen,,h0096,mustOut,0.1
hydrogen,,h0097,mustOut,0.1
hydrogen,,h0098,mustOut,0.1
hydrogen,,h0099,mustOut,0.1
hydrogen,,h0100,mustOut,0.1
hydrogen,,h0101,mustOut,0.1
hydrogen,,h0102,mustOut,0.1
hydrogen,,h0103,mustOut,0.1
hydrogen,,h0104,mustOut,0.1
hydrogen,,h0105,mustOut,0.1
hydrogen,,h0106,mustOut,0.1
hydrogen,,h0107,mustOut,0.1
hydrogen,,h0108,mustOut,0.1
hydrogen,,h0109,mustOut,0.1
hydrogen,,h0110,mustOut,0.1
hydrogen,,h0111,mustOut,0.1
hydrogen,,h0112,mustOut,0.1
hydrogen,,h0113,mustOut,0.1
hydrogen,,h0114,mustOut,0.1
hydrogen,,h0115,mustOut,0.1
hydrogen,,h0116,mustOut,0.1
hydrogen,,h0117,mustOut,0.1
hydrogen,,h0118,mustOut,0.1
hydrogen,,h0119,mustOut,0.1
hydrogen,,h0120,mustOut,0.1
hydrogen,,h0121,mustOut,0.1
hydrogen,,h0122,mustOut,0.1
hydrogen,,h0123,mustOut,0.1
hydrogen,,h0124,mustOut,0.1
hydrogen,,h0125,mustOut,0.1
hydrogen,,h0126,mustOut,0.1
hydrogen,,h0127,mustOut,0.1
hydrogen,,h0128,mustOut,0.1
hydrogen,,h0129,mustOut,0.1
hydrogen,,h0130,mustOut,0.1
hydrogen,,h0131,mustOut,0.1
hydrogen,,h0132,mustOut,0.1
hydrogen,,h0133,mustOut,0.1
hydrogen,,h0134,mustOut,0.1
hydrogen,,h0135,mustOut,0.1
hydrogen,,h0136,mustOut,0.1
hydrogen,,h0137,mustOut,0.1
hydrogen,,h0138,mustOut,0.1
hydrogen,,h0139,mustOut,0.1
hydrogen,,h0140,mustOut,0.1
hydrogen,,h0141,mustOut,0.1
hydrogen,,h0142,mustOut,0.1
hydrogen,,h0143,mustOut,0.1
hydrogen,,h0144,mustOut,0.1
hydrogen,,h0145,mustOut,0.1
hydrogen,,h0146,mustOut,0.1
hydrogen,,h0147,mustOut,0.1
hydrogen,,h0148,mustOut,0.1
hydrogen,,h0149,mustOut,0.1
hydrogen,,h0150,mustOut,0.1
hydrogen,,h0151,mustOut,0.1
hydrogen,,h0152,mustOut,0.1
hydrogen,,h0153,mustOut,0.1
hydrogen,,h0154,mustOut,0.1
hydrogen,,h0155,mustOut,0.1
hydrogen,,h0156,mustOut,0.1
hydrogen,,h0157,mustOut,0.1
hydrogen,,h0158,mustOut,0.1
hydrogen,,h0159,mustOut,0.1
hydrogen,,h0160,mustOut,0.1
hydrogen,,h0161,mustOut,0.1
hydrogen,,h0162,mustOut,0.1
hydrogen,,h0163,mustOut,0.1
hydrogen,,h0164,mustOut,0.1
hydrogen,,h0165,mustOut,0.1
hydrogen,,h0166,mustOut,0.1
hydrogen,,h0167,mustOut,0.1
hydrogen,,h0168,mustOut,0.1
hydrogen,,h0169,mustOut,0.1
hydrogen,,h0170,mustOut,0.1
hydrogen,,h0171,mustOut,0.1
hydrogen,,h0172,mustOut,0.1
hydrogen,,h0173,mustOut,0.1
hydrogen,,h0174,mustOut,0.1
hydrogen,,h0175,mustOut,0.1
hydrogen,,h0176,mustOut,0.1
hydrogen,,h0177,mustOut,0.1
hydrogen,,h0178,mustOut,0.1
hydrogen,,h0179,mustOut,0.1
hydrogen,,h0180,mustOut,0.1
hydrogen,,h0181,mustOut,0.1
hydrogen,,h0182,mustOut,0.1
hydrogen,,h0183,mustOut,0.1
hydrogen,,h0184,mustOut,0.1
hydrogen,,h0185,mustOut,0.1
hydrogen,,h0186,mustOut,0.1
hydrogen,,h0187,mustOut,0.1
hydrogen,,h0188,mustOut,0.1
hydrogen,,h0189,mustOut,0.1
hydrogen,,h0190,mustOut,0.1
hydrogen,,h0191,mustOut,0.1
hydrogen,,h0192,mustOut,0.1
hydrogen,,h0193,mustOut,0.1
hydrogen,,h0194,mustOut,0.1
hydrogen,,h0195,mustOut,0.1
hydrogen,,h0196,mustOut,0.1
hydrogen,,h0197,mustOut,0.1
hydrogen,,h0198,mustOut,0.1
hydrogen,,h0199,mustOut,0.1
hydrogen,,h0200,mustOut,0.1
hydrogen,,h0201,mustOut,0.1
hydrogen,,h0202,mustOut,0.1
hydrogen,,h0203,mustOut,0.1
hydrogen,,h0204,mustOut,0.1
hydrogen,,h0205,mustOut,0.1
hydrogen,,h0206,mustOut,0.1
hydrogen,,h0207,mustOut,0.1
hydrogen,,h0208,mustOut,0.1
hydrogen,,h0209,mustOut,0.1
hydrogen,,h0210,mustOut,0.1
hydrogen,,h0211,mustOut,0.1
hydrogen,,h0212,mustOut,0.1
hydrogen,,h0213,mustOut,0.1
hydrogen,,h0214,mustOut,0.1
hydrogen,,h0215,mustOut,0.1
hydrogen,,h0216,mustOut,0.1
hydrogen,,h0217,mustOut,0.1
hydrogen,,h0218,mustOut,0.1
hydrogen,,h0219,mustOut,0.1
hydrogen,,h0220,mustOut,0.1
hydrogen,,h0221,mustOut,0.1
hydrogen,,h0222,mustOut,0.1
hydrogen,,h0223,mustOut,0.1
hydrogen,,h0224,mustOut,0.1
hydrogen,,h0225,mustOut,0.1
hydrogen,,h0226,mustOut,0.1
hydrogen,,h0227,mustOut,0.1
hydrogen,,h0228,mustOut,0.1
hydrogen,,h0229,mustOut,0.1
hydrogen,,h0230,mustOut,0.1
hydrogen,,h0231,mustOut,0.1
hydrogen,,h0232,mustOut,0.1
hydrogen,,h0233,mustOut,0.1
hydrogen,,h0234,mustOut,0.1
hydrogen,,h0235,mustOut,0.1
hydrogen,,h0236,mustOut,0.1
hydrogen,,h0237,mustOut,0.1
hydrogen,,h0238,mustOut,0.1
hydrogen,,h0239,mustOut,0.1
hydrogen,,h0240,mustOut,0.1
hydrogen,,h0241,mustOut,0.1
hydrogen,,h0242,mustOut,0.1
hydrogen,,h0243,mustOut,0.1
hydrogen,,h0244,mustOut,0.1
hydrogen,,h0245,mustOut,0.1
hydrogen,,h0246,mustOut,0.1
hydrogen,,h0247,mustOut,0.1
hydrogen,,h0248,mustOut,0.1
hydrogen,,h0249,mustOut,0.1
hydrogen,,h0250,mustOut,0.1
hydrogen,,h0251,mustOut,0.1
hydrogen,,h0252,mustOut,0.1
hydrogen,,h0253,mustOut,0.1
hydrogen,,h0254,mustOut,0.1
hydrogen,,h0255,mustOut,0.1
hydrogen,,h0256,mustOut,0.1
hydrogen,,h0257,mustOut,0.1
hydrogen,,h0258,mustOut,0.1
hydrogen,,h0259,mustOut,0.1
hydrogen,,h0260,mustOut,0.1
hydrogen,,h0261,mustOut,0.1
hydrogen,,h0262,mustOut,0.1
hydrogen,,h0263,mustOut,0.1
hydrogen,,h0264,mustOut,0.1
hydrogen,,h0265,mustOut,0.1
hydrogen,,h0266,mustOut,0.1
hydrogen,,h0267,mustOut,0.1
hydrogen,,h0268,mustOut,0.1
hydrogen,,h0269,mustOut,0.1
hydrogen,,h0270,mustOut,0.1
hydrogen,,h0271,mustOut,0.1
hydrogen,,h0272,mustOut,0.1
hydrogen,,h0273,mustOut,0.1
hydrogen,,h0274,mustOut,0.1
hydrogen,,h0275,mustOut,0.1
hydrogen,,h0276,mustOut,0.1
hydrogen,,h0277,mustOut,0.1
hydrogen,,h0278,mustOut,0.1
hydrogen,,h0279,mustOut,0.1
hydrogen,,h0280,mustOut,0.1
hydrogen,,h0281,mustOut,0.1
hydrogen,,h0282,mustOut,0.1
hydrogen,,h0283,mustOut,0.1
hydrogen,,h0284,mustOut,0.1
hydrogen,,h0285,mustOut,0.1
hydrogen,,h0286,mustOut,0.1
hydrogen,,h0287,mustOut,0.1
hydrogen,,h0288,mustOut,0.1
hydrogen,,h0289,mustOut,0.1
hydrogen,,h0290,mustOut,0.1
hydrogen,,h0291,mustOut,0.1
hydrogen,,h0292,mustOut,0.1
hydrogen,,h0293,mustOut,0.1
hydrogen,,h0294,mustOut,0.1
hydrogen,,h0295,mustOut,0.1
hydrogen,,h0296,mustOut,0.1
hydrogen,,h0297,mustOut,0.1
hydrogen,,h0298,mustOut,0.1
hydrogen,,h0299,mustOut,0.1
hydrogen,,h0300,mustOut,0.1
hydrogen,,h0301,mustOut,0.1
hydrogen,,h0302,mustOut,0.1
hydrogen,,h0303,mustOut,0.1
hydrogen,,h0304,mustOut,0.1
hydrogen,,h0305,mustOut,0.1
hydrogen,,h0306,mustOut,0.1
hydrogen,,h0307,mustOut,0.1
hydrogen,,h0308,mustOut,0.1
hydrogen,,h0309,mustOut,0.1
hydrogen,,h0310,mustOut,0.1
hydrogen,,h0311,mustOut,0.1
hydrogen,,h0312,mustOut,0.1
hydrogen,,h0313,mustOut,0.1
hydrogen,,h0314,mustOut,0.1
hydrogen,,h0315,mustOut,0.1
hydrogen,,h0316,mustOut,0.1
hydrogen,,h0317,mustOut,0.1
hydrogen,,h0318,mustOut,0.1
hydrogen,,h0319,mustOut,0.1
hydrogen,,h0320,mustOut,0.1
hydrogen,,h0321,mustOut,0.1
hydrogen,,h0322,mustOut,0.1
hydrogen,,h0323,mustOut,0.1
hydrogen,,h0324,mustOut,0.1
hydrogen,,h0325,mustOut,0.1
hydrogen,,h0326,mustOut,0.1
hydrogen,,h0327,mustOut,0.1
hydrogen,,h0328,mustOut,0.1
hydrogen,,h0329,mustOut,0.1
hydrogen,,h0330,mustOut,0.1
hydrogen,,h0331,mustOut,0.1
hydrogen,,h0332,mustOut,0.1
hydrogen,,h0333,mustOut,0.1
hydrogen,,h0334,mustOut,0.1
hydrogen,,h0335,mustOut,0.1
hydrogen,,h0336,mustOut,0.1
hydrogen,,h0337,mustOut,0.1
hydrogen,,h0338,mustOut,0.1
hydrogen,,h0339,mustOut,0.1
hydrogen,,h0340,mustOut,0.1
hydrogen,,h0341,mustOut,0.1
hydrogen,,h0342,mustOut,0.1
hydrogen,,h0343,mustOut,0.1
hydrogen,,h0344,mustOut,0.1
hydrogen,,h0345,mustOut,0.1
hydrogen,,h0346,mustOut,0.1
hydrogen,,h0347,mustOut,0.1
hydrogen,,h0348,mustOut,0.1
hydrogen,,h0349,mustOut,0.1
hydrogen,,h0350,mustOut,0.1
hydrogen,,h0351,mustOut,0.1
hydrogen,,h0352,mustOut,0.1
hydrogen,,h0353,mustOut,0.1
hydrogen,,h0354,mustOut,0.1
hydrogen,,h0355,mustOut,0.1
hydrogen,,h0356,mustOut,0.1
hydrogen,,h0357,mustOut,0.1
hydrogen,,h0358,mustOut,0.1
hydrogen,,h0359,mustOut,0.1
hydrogen,,h0360,mustOut,0.1
hydrogen,,h0361,mustOut,0.1
hydrogen,,h0362,mustOut,0.1
hydrogen,,h0363,mustOut,0.1
hydrogen,,h0364,mustOut,0.1
hydrogen,,h0365,mustOut,0.1
hydrogen,,h0366,mustOut,0.1
hydrogen,,h0367,mustOut,0.1
hydrogen,,h0368,mustOut,0.1
hydrogen,,h0369,mustOut,0.1
hydrogen,,h0370,mustOut,0.1
hydrogen,,h0371,mustOut,0.1
hydrogen,,h0372,mustOut,0.1
hydrogen,,h0373,mustOut,0.1
hydrogen,,h0374,mustOut,0.1
hydrogen,,h0375,mustOut,0.1
hydrogen,,h0376,mustOut,0.1
hydrogen,,h0377,mustOut,0.1
hydrogen,,h0378,mustOut,0.1
hydrogen,,h0379,mustOut,0.1
hydrogen,,h0380,mustOut,0.1
hydrogen,,h0381,mustOut,0.1
hydrogen,,h0382,mustOut,0.1
hydrogen,,h0383,mustOut,0.1
hydrogen,,h0384,mustOut,0.1
hydrogen,,h0385,mustOut,0.1
hydrogen,,h0386,mustOut,0.1
hydrogen,,h0387,mustOut,0.1
hydrogen,,h0388,mustOut,0.1
hydrogen,,h0389,mustOut,0.1
hydrogen,,h0390,mustOut,0.1
hydrogen,,h0391,mustOut,0.1
hydrogen,,h0392,mustOut,0.1
hydrogen,,h0393,mustOut,0.1
hydrogen,,h0394,mustOut,0.1
hydrogen,,h0395,mustOut,0.1
hydrogen,,h0396,mustOut,0.1
hydrogen,,h0397,mustOut,0.1
hydrogen,,h0398,mustOut,0.1
hydrogen,,h0399,mustOut,0.1
hydrogen,,h0400,mustOut,0.1
hydrogen,,h0401,mustOut,0.1
hydrogen,,h0402,mustOut,0.1
hydrogen,,h0403,mustOut,0.1
hydrogen,,h0404,mustOut,0.1
hydrogen,,h0405,mustOut,0.1
hydrogen,,h0406,mustOut,0.1
hydrogen,,h0407,mustOut,0.1
hydrogen,,h0408,mustOut,0.1
hydrogen,,h0409,mustOut,0.1
hydrogen,,h0410,mustOut,0.1
hydrogen,,h0411,mustOut,0.1
hydrogen,,h0412,mustOut,0.1
hydrogen,,h0413,mustOut,0.1
hydrogen,,h0414,mustOut,0.1
hydrogen,,h0415,mustOut,0.1
hydrogen,,h0416,mustOut,0.1
hydrogen,,h0417,mustOut,0.1
hydrogen,,h0418,mustOut,0.1
hydrogen,,h0419,mustOut,0.1
hydrogen,,h0420,mustOut,0.1
hydrogen,,h0421,mustOut,0.1
hydrogen,,h0422,mustOut,0.1
hydrogen,,h0423,mustOut,0.1
hydrogen,,h0424,mustOut,0.1
hydrogen,,h0425,mustOut,0.1
hydrogen,,h0426,mustOut,0.1
hydrogen,,h0427,mustOut,0.1
hydrogen,,h0428,mustOut,0.1
hydrogen,,h0429,mustOut,0.1
hydrogen,,h0430,mustOut,0.1
hydrogen,,h0431,mustOut,0.1
hydrogen,,h0432,mustOut,0.1
hydrogen,,h0433,mustOut,0.1
hydrogen,,h0434,mustOut,0.1
hydrogen,,h0435,mustOut,0.1
hydrogen,,h0436,mustOut,0.1
hydrogen,,h0437,mustOut,0.1
hydrogen,,h0438,mustOut,0.1
hydrogen,,h0439,mustOut,0.1
hydrogen,,h0440,mustOut,0.1
hydrogen,,h0441,mustOut,0.1
hydrogen,,h0442,mustOut,0.1
hydrogen,,h0443,mustOut,0.1
hydrogen,,h0444,mustOut,0.1
hydrogen,,h0445,mustOut,0.1
hydrogen,,h0446,mustOut,0.1
hydrogen,,h0447,mustOut,0.1
hydrogen,,h0448,mustOut,0.1
hydrogen,,h0449,mustOut,0.1
hydrogen,,h0450,mustOut,0.1
hydrogen,,h0451,mustOut,0.1
hydrogen,,h0452,mustOut,0.1
hydrogen,,h0453,mustOut,0.1
hydrogen,,h0454,mustOut,0.1
hydrogen,,h0455,mustOut,0.1
hydrogen,,h0456,mustOut,0.1
hydrogen,,h0457,mustOut,0.1
hydrogen,,h0458,mustOut,0.1
hydrogen,,h0459,mustOut,0.1
hydrogen,,h0460,mustOut,0.1
hydrogen,,h0461,mustOut,0.1
hydrogen,,h0462,mustOut,0.1
hydrogen,,h0463,mustOut,0.1
hydrogen,,h0464,mustOut,0.1
hydrogen,,h0465,mustOut,0.1
hydrogen,,h0466,mustOut,0.1
hydrogen,,h0467,mustOut,0.1
hydrogen,,h0468,mustOut,0.1
hydrogen,,h0469,mustOut,0.1
hydrogen,,h0470,mustOut,0.1
hydrogen,,h0471,mustOut,0.1
hydrogen,,h0472,mustOut,0.1
hydrogen,,h0473,mustOut,0.1
hydrogen,,h0474,mustOut,0.1
hydrogen,,h0475,mustOut,0.1
hydrogen,,h0476,mustOut,0.1
hydrogen,,h0477,mustOut,0.1
hydrogen,,h0478,mustOut,0.1
hydrogen,,h0479,mustOut,0.1
hydrogen,,h0480,mustOut,0.1
hydrogen,,h0481,mustOut,0.1
hydrogen,,h0482,mustOut,0.1
hydrogen,,h0483,mustOut,0.1
hydrogen,,h0484,mustOut,0.1
hydrogen,,h0485,mustOut,0.1
hydrogen,,h0486,mustOut,0.1
hydrogen,,h0487,mustOut,0.1
hydrogen,,h0488,mustOut,0.1
hydrogen,,h0489,mustOut,0.1
hydrogen,,h0490,mustOut,0.1
hydrogen,,h0491,mustOut,0.1
hydrogen,,h0492,mustOut,0.1
hydrogen,,h0493,mustOut,0.1
hydrogen,,h0494,mustOut,0.1
hydrogen,,h0495,mustOut,0.1
hydrogen,,h0496,mustOut,0.1
hydrogen,,h0497,mustOut,0.1
hydrogen,,h0498,mustOut,0.1
hydrogen,,h0499,mustOut,0.1
hydrogen,,h0500,mustOut,0.1
hydrogen,,h0501,mustOut,0.1
hydrogen,,h0502,mustOut,0.1
hydrogen,,h0503,mustOut,0.1
hydrogen,,h0504,mustOut,0.1
hydrogen,,h0505,mustOut,0.1
hydrogen,,h0506,mustOut,0.1
hydrogen,,h0507,mustOut,0.1
hydrogen,,h0508,mustOut,0.1
hydrogen,,h0509,mustOut,0.1
hydrogen,,h0510,mustOut,0.1
hydrogen,,h0511,mustOut,0.1
hydrogen,,h0512,mustOut,0.1
hydrogen,,h0513,mustOut,0.1
hydrogen,,h0514,mustOut,0.1
hydrogen,,h0515,mustOut,0.1
hydrogen,,h0516,mustOut,0.1
hydrogen,,h0517,mustOut,0.1
hydrogen,,h0518,mustOut,0.1
hydrogen,,h0519,mustOut,0.1
hydrogen,,h0520,mustOut,0.1
hydrogen,,h0521,mustOut,0.1
hydrogen,,h0522,mustOut,0.1
hydrogen,,h0523,mustOut,0.1
hydrogen,,h0524,mustOut,0.1
hydrogen,,h0525,mustOut,0.1
hydrogen,,h0526,mustOut,0.1
hydrogen,,h0527,mustOut,0.1
hydrogen,,h0528,mustOut,0.1
hydrogen,,h0529,mustOut,0.1
hydrogen,,h0530,mustOut,0.1
hydrogen,,h0531,mustOut,0.1
hydrogen,,h0532,mustOut,0.1
hydrogen,,h0533,mustOut,0.1
hydrogen,,h0534,mustOut,0.1
hydrogen,,h0535,mustOut,0.1
hydrogen,,h0536,mustOut,0.1
